Frequency_Hz,PSD
-8383789.062,1.45219652e-08
-8378906.25,1.485399178e-08
-8374023.438,1.497010673e-08
-8369140.625,1.455495982e-08
-8364257.812,1.450092411e-08
-8359375,1.441467077e-08
-8354492.188,1.471518943e-08
-8349609.375,1.486643459e-08
-8344726.562,1.459510318e-08
-8339843.75,1.483892324e-08
-8334960.938,1.522637794e-08
-8330078.125,1.572036946e-08
-8325195.312,1.605332363e-08
-8320312.5,1.663719782e-08
-8315429.688,1.728214532e-08
-8310546.875,1.830035572e-08
-8305664.062,1.778412114e-08
-8300781.25,1.710374557e-08
-8295898.438,1.673353944e-08
-8291015.625,1.592614045e-08
-8286132.812,1.558094465e-08
-8281250,1.516732769e-08
-8276367.188,1.493463414e-08
-8271484.375,1.502659467e-08
-8266601.562,1.524254103e-08
-8261718.75,1.485902638e-08
-8256835.938,1.48550738e-08
-8251953.125,1.492060621e-08
-8247070.312,1.521778035e-08
-8242187.5,1.476513621e-08
-8237304.688,1.442988167e-08
-8232421.875,1.401491025e-08
-8227539.062,1.419622824e-08
-8222656.25,1.477162149e-08
-8217773.438,1.436859651e-08
-8212890.625,1.448953954e-08
-8208007.812,1.475590372e-08
-8203125,1.447450035e-08
-8198242.188,1.423268894e-08
-8193359.375,1.442208601e-08
-8188476.562,1.448736283e-08
-8183593.75,1.478237333e-08
-8178710.938,1.439829161e-08
-8173828.125,1.41904419e-08
-8168945.312,1.432005288e-08
-8164062.5,1.455689764e-08
-8159179.688,1.493436659e-08
-8154296.875,1.446399236e-08
-8149414.062,1.428512249e-08
-8144531.25,1.435755912e-08
-8139648.438,1.442854296e-08
-8134765.625,1.430798783e-08
-8129882.812,1.423327386e-08
-8125000,1.433294817e-08
-8120117.188,1.417327701e-08
-8115234.375,1.423610957e-08
-8110351.562,1.424433937e-08
-8105468.75,1.432713822e-08
-8100585.938,1.4300863e-08
-8095703.125,1.447009349e-08
-8090820.312,1.45269586e-08
-8085937.5,1.444556458e-08
-8081054.688,1.410523581e-08
-8076171.875,1.440543382e-08
-8071289.062,1.421576294e-08
-8066406.25,1.415866217e-08
-8061523.438,1.450457177e-08
-8056640.625,1.405548353e-08
-8051757.812,1.40867613e-08
-8046875,1.445799213e-08
-8041992.188,1.441856502e-08
-8037109.375,1.417360626e-08
-8032226.562,1.417661751e-08
-8027343.75,1.441835253e-08
-8022460.938,1.406920645e-08
-8017578.125,1.446900089e-08
-8012695.312,1.446852871e-08
-8007812.5,1.42435222e-08
-8002929.688,1.467211827e-08
-7998046.875,1.481226883e-08
-7993164.062,1.434144612e-08
-7988281.25,1.414137901e-08
-7983398.438,1.421683508e-08
-7978515.625,1.39679432e-08
-7973632.812,1.430998773e-08
-7968750,1.438039953e-08
-7963867.188,1.424711461e-08
-7958984.375,1.395498738e-08
-7954101.562,1.430169693e-08
-7949218.75,1.416498106e-08
-7944335.938,1.42072765e-08
-7939453.125,1.41730035e-08
-7934570.312,1.422817935e-08
-7929687.5,1.423052581e-08
-7924804.688,1.409123677e-08
-7919921.875,1.445456399e-08
-7915039.062,1.42172439e-08
-7910156.25,1.425052892e-08
-7905273.438,1.42569e-08
-7900390.625,1.446568522e-08
-7895507.812,1.437181007e-08
-7890625,1.418188722e-08
-7885742.188,1.425362288e-08
-7880859.375,1.427318211e-08
-7875976.562,1.411799886e-08
-7871093.75,1.437141427e-08
-7866210.938,1.455622439e-08
-7861328.125,1.418574391e-08
-7856445.312,1.434897833e-08
-7851562.5,1.443311665e-08
-7846679.688,1.427373087e-08
-7841796.875,1.402666048e-08
-7836914.062,1.391391999e-08
-7832031.25,1.40286769e-08
-7827148.438,1.410803449e-08
-7822265.625,1.382882828e-08
-7817382.812,1.402136575e-08
-7812500,1.426769912e-08
-7807617.188,1.431745312e-08
-7802734.375,1.436628337e-08
-7797851.562,1.410938081e-08
-7792968.75,1.404571687e-08
-7788085.938,1.412708388e-08
-7783203.125,1.419297949e-08
-7778320.312,1.429451225e-08
-7773437.5,1.415660827e-08
-7768554.688,1.392214494e-08
-7763671.875,1.396810482e-08
-7758789.062,1.388301435e-08
-7753906.25,1.396601121e-08
-7749023.438,1.406838385e-08
-7744140.625,1.445416687e-08
-7739257.812,1.465579815e-08
-7734375,1.431517492e-08
-7729492.188,1.423322261e-08
-7724609.375,1.433247871e-08
-7719726.562,1.444641242e-08
-7714843.75,1.441623202e-08
-7709960.938,1.463322305e-08
-7705078.125,1.451102762e-08
-7700195.312,1.435764182e-08
-7695312.5,1.443753426e-08
-7690429.688,1.42682209e-08
-7685546.875,1.43244387e-08
-7680664.062,1.448684415e-08
-7675781.25,1.423037645e-08
-7670898.438,1.424460944e-08
-7666015.625,1.427129707e-08
-7661132.812,1.438979959e-08
-7656250,1.424297116e-08
-7651367.188,1.401936443e-08
-7646484.375,1.428412859e-08
-7641601.562,1.428411193e-08
-7636718.75,1.427808291e-08
-7631835.938,1.458027248e-08
-7626953.125,1.453275463e-08
-7622070.312,1.406338413e-08
-7617187.5,1.420495843e-08
-7612304.688,1.445630264e-08
-7607421.875,1.442512803e-08
