Frequency_Hz,PSD
89004882.81,3.397782671e-08
89008300.78,3.582529879e-08
89011718.75,3.55335375e-08
89015136.72,3.350007564e-08
89018554.69,3.319145697e-08
89021972.66,3.408101014e-08
89025390.62,3.303990627e-08
89028808.59,3.205387705e-08
89032226.56,3.326538315e-08
89035644.53,3.248737054e-08
89039062.5,3.204710288e-08
89042480.47,3.234474923e-08
89045898.44,3.199649809e-08
89049316.41,3.197816225e-08
89052734.38,3.345901479e-08
89056152.34,3.256097995e-08
89059570.31,3.295903524e-08
89062988.28,3.397910017e-08
89066406.25,3.405164622e-08
89069824.22,3.314250581e-08
89073242.19,3.144369454e-08
89076660.16,3.28034684e-08
89080078.12,3.170440298e-08
89083496.09,3.135057412e-08
89086914.06,3.195050633e-08
89090332.03,3.248899935e-08
89093750,3.197551354e-08
89097167.97,3.262646689e-08
89100585.94,3.332277499e-08
89104003.91,3.091163337e-08
89107421.88,3.15113424e-08
89110839.84,3.316907565e-08
89114257.81,3.266755286e-08
89117675.78,3.420401022e-08
89121093.75,3.541541374e-08
89124511.72,3.451645077e-08
89127929.69,3.23469525e-08
89131347.66,3.195295978e-08
89134765.62,3.18727882e-08
89138183.59,3.132842234e-08
89141601.56,3.299308907e-08
89145019.53,3.325442368e-08
89148437.5,3.22212072e-08
89151855.47,3.156761188e-08
89155273.44,3.25440168e-08
89158691.41,3.08017831e-08
89162109.38,3.144247694e-08
89165527.34,3.337615021e-08
89168945.31,3.203540666e-08
89172363.28,3.232257841e-08
89175781.25,3.384222095e-08
89179199.22,3.412466834e-08
89182617.19,3.281484859e-08
89186035.16,3.22302716e-08
89189453.12,3.232019339e-08
89192871.09,3.164390466e-08
89196289.06,3.173752113e-08
89199707.03,3.244695607e-08
89203125,3.154833635e-08
89206542.97,3.114296654e-08
89209960.94,3.244304758e-08
89213378.91,3.25308993e-08
89216796.88,3.101522215e-08
89220214.84,3.158485844e-08
89223632.81,3.243265907e-08
89227050.78,3.16495995e-08
89230468.75,3.23916576e-08
89233886.72,3.28892965e-08
89237304.69,3.27800036e-08
89240722.66,3.171703951e-08
89244140.62,3.26661212e-08
89247558.59,3.158523258e-08
89250976.56,3.175285484e-08
89254394.53,3.160644148e-08
89257812.5,3.188193767e-08
89261230.47,3.170588807e-08
89264648.44,3.210878728e-08
89268066.41,3.24691788e-08
89271484.38,3.083124855e-08
89274902.34,3.162436881e-08
89278320.31,3.258472254e-08
89281738.28,3.161639912e-08
89285156.25,3.273771289e-08
89288574.22,3.472582252e-08
89291992.19,3.397151123e-08
89295410.16,3.151770869e-08
